JAMES,249379,51.58,38.86,1.27,2.58,2.64,3.08
BENNETT,247599,76.56,17.53,0.53,0.88,1.99,2.5
GRAY,246116,68.68,25.13,0.54,0.91,2.33,2.41
MENDOZA,242771,4.11,0.35,4.91,0.24,0.42,89.97
RUIZ,238234,5.17,0.44,1.03,0.22,0.24,92.89
HUGHES,236271,78.39,16.13,0.5,0.53,1.97,2.47
PRICE,235251,73.93,20.51,0.51,0.66,2.14,2.24
ALVAREZ,233983,5.18,0.6,1.16,0.38,0.23,92.45
CASTILLO,230420,4.92,0.72,3.04,0.59,0.46,90.26
SANDERS,230374,60.78,32.97,0.41,0.84,2.43,2.57
PATEL,229973,2.1,0.38,94.78,0.65,1.65,0.44
MYERS,229895,84.5,10.54,0.5,0.55,1.8,2.1
LONG,229374,79.88,12.1,2.48,1.32,1.97,2.24
ROSS,229368,68.96,24.46,0.61,0.9,2.32,2.75
FOSTER,227764,69.65,23.94,0.55,0.88,2.33,2.65
JIMENEZ,227118,3.84,0.29,1.49,0.2,0.21,93.97
POWELL,224874,67.2,27.12,0.46,0.62,2.29,2.31
JENKINS,222653,57.76,36.78,0.39,0.57,2.42,2.07
PERRY,221741,68.32,25.2,0.57,0.81,2.43,2.67
RUSSELL,221558,77.05,16.69,0.57,1.05,2.18,2.46
SULLIVAN,220990,87.73,7.13,0.6,0.57,1.59,2.39
BELL,220599,61.11,32.35,0.55,1.01,2.51,2.46
COLEMAN,219070,49.43,44.6,0.4,0.53,2.79,2.25
BUTLER,218847,62.36,31.54,0.45,0.84,2.45,2.35
HENDERSON,218393,59.63,33.98,0.45,0.86,2.56,2.51
BARNES,218241,64.81,29.28,0.48,0.75,2.35,2.33
GONZALES,214758,9.83,0.99,3.8,0.76,0.56,84.06
FISHER,214703,82.58,11.79,0.55,0.76,1.89,2.43
VASQUEZ,212781,5.06,0.51,0.73,0.29,0.24,93.17
SIMMONS,210182,57.91,36.15,0.47,0.67,2.52,2.29
ROMERO,208614,8.65,0.5,1.3,0.69,0.37,88.5
JORDAN,208403,61.44,30.73,0.55,0.72,2.45,4.11
