Katherine,13,94.252,1.562,2.187,0.083,0.083,1.833
Alan,4767,92.471,1.064,4.797,0.104,0.063,1.502
Adam,4713,96.148,0.635,1.016,0.085,0.127,1.989
Kathryn,5,97.225,1.017,0.636,0.042,0.106,0.975
Carolyn,24,89.429,7.928,1.066,0.043,0.171,1.364
Nicholas,4661,95.035,1.305,1.006,0.021,0.107,2.525
Lawrence,4552,90.854,4.191,2.489,0.109,0.153,2.205
Philip,4403,92.938,1.245,4.052,0.068,0.113,1.584
Amanda,12,94.312,1.206,0.933,0.205,0.205,3.14
Roger,4352,92.842,2.104,2.355,0.023,0.16,2.515
Gerald,4331,93.373,3.671,1.408,0.162,0.139,1.247
Jerry,4217,89.465,4.505,3.332,0.164,0.094,2.44
Robin,706,94.246,3.687,1.104,0.141,0.047,0.775
Anne,21,96.037,0.896,2.147,0.142,0.047,0.731
Benjamin,4220,85.184,2.906,4.679,0.165,0.189,6.876
Andrea,45,89.751,4.911,0.807,0.214,0.047,4.27
Nicole,9,91.141,4.99,1.194,0.096,0.143,2.436
Christina,20,88.524,1.773,2.947,0.264,0.144,6.349
Tracy,920,92.334,4.246,2.135,0.146,0.146,0.995
Theresa,27,89.798,4.008,2.235,0.194,0.121,3.643
Justin,4064,94.685,1.396,2.204,0.269,0.049,1.396
Joan,590,94.405,3.204,1.232,0.099,0.173,0.887
Juan,3983,4.528,0.523,1.518,0.025,0,93.406
Dawn,47,95.147,3.017,0.779,0.126,0.075,0.855
Leslie,374,92.634,3.633,1.615,0.151,0.177,1.791
Wendy,44,91.648,1.615,3.76,0.126,0.05,2.801
Sean,3917,94.509,2.364,1.957,0.127,0.178,0.864
Jane,39,93.968,0.984,3.779,0.181,0.207,0.88
Martin,3807,77.656,1.068,1.615,0.104,0.026,19.531
Jacqueline,21,80.318,11.863,1.833,0.135,0.216,5.635
Jean,2116,87.361,7.567,3.228,0.163,0.19,1.492
Bryan,3671,93.625,2.116,2.821,0.027,0.054,1.356
Lynn,591,94.412,1.616,2.821,0.164,0.055,0.931
Aaron,3625,91.607,3.264,2.057,0.055,0.137,2.88
Diana,29,83.591,1.903,2.923,0.248,0.193,11.142
Bradley,3609,98.867,0.193,0.525,0.138,0.055,0.221
Jeremy,3570,96.596,1.116,0.642,0.084,0.112,1.451
Paula,36,92.402,3.113,0.8,0.2,0.171,3.313
Martha,43,68.367,3.438,0.774,0.115,0.115,27.192
Carl,3465,90.331,6.935,1.41,0.115,0.23,0.978
Michele,103,94.705,2.604,0.868,0.116,0.087,1.62
Wayne,3455,90.478,4.718,3.849,0.087,0.174,0.695
Erin,98,97.949,0.469,0.439,0.117,0.088,0.938
Joyce,32,85.596,9.534,3.689,0.177,0.03,0.974
Anna,15,84.762,2.211,5.378,0.09,0.12,7.439
Russell,3312,94.746,2.627,1.661,0.06,0.181,0.725
Samuel,3291,73.198,9.388,5.421,0.182,0.212,11.599
Shannon,297,95.41,2.754,0.551,0.092,0.092,1.102
Jack,3253,93.298,0.984,4.211,0.215,0.246,1.045
Shawn,3148,94.018,3.022,1.603,0.185,0.185,0.987
Kim,658,84.508,4.409,9.78,0.155,0.373,0.776
Sara,9,90.869,1.074,1.169,0.126,0.063,6.698
Chad,3148,97.716,0.793,0.825,0.19,0.032,0.444
Walter,3133,85.796,7.69,1.875,0.032,0.095,4.512
Rachel,7,90.806,2.29,2.355,0.032,0.129,4.387
Dale,2947,96.415,1.858,1.043,0.098,0.098,0.489
Dana,323,94.941,3.427,0.685,0.098,0.098,0.751
Virginia,18,83.775,3.664,2.65,0.131,0.196,9.585
Phillip,3014,89.613,3.97,3.01,0.198,0.232,2.977
Randy,2978,92.757,2.027,3.09,0.166,0.133,1.827
Jamie,503,94.467,1.576,1.643,0.168,0.134,2.012
Joel,2919,84.459,1.934,2.002,0.102,0.068,11.435
Tammy,52,92.421,2.846,2.743,0.171,0.24,1.578
Joanne,34,92.862,1.784,3.329,0,0.103,1.922
Arthur,2887,83.115,7.099,3.377,0.103,0.138,6.168
Steve,2874,85.399,2.209,7.214,0.242,0.104,4.833
Victor,2878,47.479,4.869,6.768,0.069,0.104,40.711
Carlos,2866,13.352,1.73,2.041,0.069,0.104,82.705
Jon,2867,96.157,0.727,1.904,0.139,0.069,1.004
Bonnie,40,96.683,1.047,1.327,0.07,0.07,0.803
Nathan,2857,94.309,2.235,2.13,0.244,0.209,0.873
Randall,2770,96.728,0.996,1.387,0.071,0.107,0.711
Emily,7,92.026,1.709,4.201,0.142,0.249,1.673
Laurie,40,97.286,0.536,0.714,0.107,0.143,1.214
Glenn,2752,91.994,3.074,3.753,0.179,0.286,0.715
Vincent,2786,81.938,5.508,8.047,0.072,0.286,4.149
Henry,2734,66.425,9.101,14.068,0.073,0.218,10.116
Victoria,11,83.515,3.74,3.704,0.327,0.29,8.424
Gloria,36,55.342,12.5,4.76,0.218,0.254,26.926
Helen,22,79.345,6.8,10.036,0.145,0.364,3.309
Ellen,13,94.971,1.239,2.915,0.109,0.036,0.729
Ruth,20,86.019,5.408,2.134,0.184,0.147,6.107
Marie,31,80.466,11.728,3.478,0.222,0.148,3.959
Marc,2690,94.148,2.889,0.926,0.074,0.259,1.704
Luis,2675,11.008,0.111,1.446,0.037,0,87.398
Cindy,25,89.747,0.854,5.906,0.111,0.037,3.343
Brandon,2670,91.981,3.767,2.126,0.298,0.149,1.678
Valerie,18,86.647,7.539,1.688,0.113,0.188,3.826
Tina,15,88.164,3.204,5.993,0.188,0.151,2.299
Jay,2598,91.962,0.838,5.219,0.267,0.305,1.41
Kristin,12,98.26,0.503,0.657,0,0,0.58
Louis,2549,84.008,5.253,2.49,0.272,0.039,7.938
Barry,2497,95.149,2.903,1.034,0.119,0.199,0.596
Chris,2354,91.68,1.6,4.28,0.12,0.12,2.2
Lee,2198,90.308,4.445,4.165,0.08,0.04,0.961
Monica,10,69.759,7.309,3.173,0.161,0.201,19.398
Kyle,2461,96.381,1.407,1.568,0.121,0.161,0.362
Kristen,16,98.229,0.564,0.282,0.04,0.081,0.805
Ralph,2456,88.656,4.32,1.13,0.202,0.323,5.369
Albert,2414,75.093,7.464,7.546,0.206,0.165,9.526
